label,start,end,years,total_return_pct,cagr_pct,ann_vol_pct,sharpe,sortino,max_drawdown_pct,calmar,best_month_pct,worst_month_pct,pct_months_positive,n_rebalances,avg_annual_turnover,exposure_pct
L189_K3_S0_raw,2020-01-02,2026-07-01,6.48,1032.43,45.46,35.89,1.224,1.795,-35.46,1.282,54.98,-15.8,58.2,0,,
L252_K3_S21_raw,2020-01-02,2026-07-01,6.48,1025.92,45.33,34.94,1.245,1.801,-31.9,1.421,69.07,-15.37,57.0,0,,
L126_K3_S21_raw,2020-01-02,2026-07-01,6.48,929.37,43.34,36.55,1.168,1.652,-40.49,1.07,33.87,-18.9,63.3,0,,
L252_K3_S0_raw,2020-01-02,2026-07-01,6.48,828.91,41.08,34.86,1.162,1.683,-28.35,1.449,69.14,-15.84,55.7,0,,
L126_K3_S0_raw,2020-01-02,2026-07-01,6.48,744.97,39.03,36.93,1.089,1.498,-44.56,0.876,32.36,-17.62,63.3,0,,
L126_K5_S21_raw,2020-01-02,2026-07-01,6.48,743.03,38.98,31.68,1.199,1.624,-36.83,1.058,24.15,-13.9,63.3,0,,
L252_K5_S0_raw,2020-01-02,2026-07-01,6.48,698.09,37.81,28.64,1.264,1.829,-19.69,1.92,54.71,-13.71,58.2,0,,
L189_K3_S21_raw,2020-01-02,2026-07-01,6.48,638.65,36.18,35.38,1.05,1.465,-37.36,0.968,54.91,-16.15,53.2,0,,
L189_K5_S0_raw,2020-01-02,2026-07-01,6.48,584.02,34.57,28.76,1.177,1.678,-25.12,1.376,26.55,-13.49,55.7,0,,
L126_K5_S0_raw,2020-01-02,2026-07-01,6.48,557.95,33.76,31.7,1.089,1.484,-40.71,0.829,24.52,-13.76,64.6,0,,
L252_K10_S0_raw,2020-01-02,2026-07-01,6.48,527.96,32.8,22.85,1.356,1.871,-22.27,1.473,27.18,-8.51,58.2,0,,
L252_K3_S21_TF,2020-01-02,2026-07-01,6.48,514.79,32.37,31.42,1.049,1.374,-36.77,0.88,42.54,-18.43,48.1,0,,
L126_K3_S0_TF,2020-01-02,2026-07-01,6.48,514.6,32.36,29.64,1.094,1.431,-22.56,1.435,32.36,-10.82,58.2,0,,
L189_K5_S21_raw,2020-01-02,2026-07-01,6.48,512.71,32.3,29.56,1.095,1.559,-41.5,0.778,44.05,-16.62,59.5,0,,
L252_K5_S21_raw,2020-01-02,2026-07-01,6.48,507.83,32.14,29.2,1.101,1.535,-30.44,1.056,46.51,-13.48,54.4,0,,
L63_K3_S0_raw,2020-01-02,2026-07-01,6.48,499.71,31.86,35.58,0.969,1.338,-47.72,0.668,28.73,-13.94,55.7,0,,
L63_K5_S0_raw,2020-01-02,2026-07-01,6.48,485.86,31.39,29.88,1.078,1.434,-36.68,0.856,26.01,-12.55,59.5,0,,
L63_K3_S21_raw,2020-01-02,2026-07-01,6.48,458.25,30.41,35.85,0.936,1.292,-48.55,0.626,26.73,-16.15,58.2,0,,
L63_K3_S0_TF,2020-01-02,2026-07-01,6.48,452.57,30.21,29.07,1.053,1.399,-30.48,0.991,28.73,-14.12,49.4,0,,
L63_K10_S0_raw,2020-01-02,2026-07-01,6.48,449.08,30.08,24.7,1.202,1.582,-29.09,1.034,18.96,-10.79,60.8,0,,
L252_K3_S0_TF,2020-01-02,2026-07-01,6.48,435.22,29.57,31.74,0.974,1.29,-35.24,0.839,42.54,-12.33,48.1,0,,
L189_K3_S0_TF,2020-01-02,2026-07-01,6.48,429.7,29.36,31.79,0.969,1.275,-40.86,0.719,37.74,-15.13,51.9,0,,
L63_K10_S21_raw,2020-01-02,2026-07-01,6.48,421.22,29.04,25.07,1.159,1.527,-33.43,0.869,21.64,-9.92,65.8,0,,
L63_K5_S21_raw,2020-01-02,2026-07-01,6.48,398.33,28.15,30.12,0.989,1.327,-40.08,0.702,23.44,-12.04,60.8,0,,
L63_K5_S0_TF,2020-01-02,2026-07-01,6.48,386.99,27.69,23.81,1.146,1.463,-23.41,1.183,26.01,-14.28,57.0,0,,
L126_K10_S21_raw,2020-01-02,2026-07-01,6.48,382.14,27.49,25.79,1.072,1.435,-29.74,0.924,16.27,-10.78,63.3,0,,
L63_K10_S0_TF,2020-01-02,2026-07-01,6.48,374.24,27.17,18.83,1.371,1.747,-17.43,1.559,18.96,-12.76,54.4,0,,
L189_K10_S21_raw,2020-01-02,2026-07-01,6.48,373.55,27.14,23.3,1.148,1.587,-24.43,1.111,20.41,-11.31,59.5,0,,
L252_K5_S0_TF,2020-01-02,2026-07-01,6.48,364.64,26.77,25.94,1.044,1.387,-33.8,0.792,33.42,-8.3,53.2,0,,
L189_K10_S0_raw,2020-01-02,2026-07-01,6.48,350.61,26.17,23.53,1.106,1.544,-24.59,1.064,21.57,-10.09,57.0,0,,
L189_K3_S21_TF,2020-01-02,2026-07-01,6.48,325.42,25.05,31.44,0.869,1.091,-41.9,0.598,37.74,-17.32,45.6,0,,
L126_K3_S21_TF,2020-01-02,2026-07-01,6.48,323.21,24.95,30.25,0.888,1.147,-36.57,0.682,32.36,-18.9,58.2,0,,
L126_K10_S0_raw,2020-01-02,2026-07-01,6.48,321.19,24.86,25.35,1.012,1.312,-32.79,0.758,18.18,-11.48,58.2,0,,
L252_K10_S0_TF,2020-01-02,2026-07-01,6.48,314.7,24.56,20.5,1.174,1.474,-23.47,1.047,19.79,-9.88,50.6,0,,
L126_K5_S0_TF,2020-01-02,2026-07-01,6.48,306.87,24.2,25.28,0.984,1.283,-22.44,1.078,24.52,-13.19,58.2,0,,
L252_K5_S21_TF,2020-01-02,2026-07-01,6.48,306.78,24.19,25.68,0.972,1.229,-29.48,0.821,27.43,-16.42,45.6,0,,
L252_K10_S21_raw,2020-01-02,2026-07-01,6.48,298.57,23.8,22.97,1.045,1.408,-25.41,0.937,23.03,-10.31,55.7,0,,
L126_K5_S21_TF,2020-01-02,2026-07-01,6.48,298.5,23.8,25.29,0.971,1.242,-32.0,0.744,24.03,-13.58,58.2,0,,
L63_K10_S21_TF,2020-01-02,2026-07-01,6.48,291.11,23.44,18.48,1.232,1.56,-23.68,0.99,21.64,-14.63,58.2,0,,
L189_K5_S21_TF,2020-01-02,2026-07-01,6.48,290.41,23.41,26.14,0.935,1.194,-42.55,0.55,27.66,-16.62,54.4,0,,
L189_K5_S0_TF,2020-01-02,2026-07-01,6.48,269.22,22.35,25.24,0.926,1.187,-29.35,0.761,24.52,-12.64,46.8,0,,
BUYHOLD QQQ,2020-01-02,2026-07-01,6.48,249.63,21.32,25.03,0.908,1.199,-35.0,0.609,15.69,-13.6,62.0,0,,
L63_K5_S21_TF,2020-01-02,2026-07-01,6.48,207.07,18.91,23.03,0.867,1.101,-30.61,0.618,23.44,-16.25,53.2,0,,
L126_K10_S21_TF,2020-01-02,2026-07-01,6.48,199.5,18.46,19.74,0.957,1.207,-33.08,0.558,16.27,-13.87,51.9,0,,
L126_K10_S0_TF,2020-01-02,2026-07-01,6.48,198.37,18.39,19.67,0.957,1.186,-27.85,0.66,18.18,-13.24,49.4,0,,
L63_K3_S21_TF,2020-01-02,2026-07-01,6.48,189.93,17.86,28.2,0.724,0.938,-36.22,0.493,26.73,-18.44,49.4,0,,
L189_K10_S21_TF,2020-01-02,2026-07-01,6.48,188.66,17.78,20.42,0.904,1.125,-36.69,0.485,17.68,-13.59,54.4,0,,
L189_K10_S0_TF,2020-01-02,2026-07-01,6.48,175.57,16.94,20.49,0.867,1.077,-28.8,0.588,17.91,-9.69,49.4,0,,
L252_K10_S21_TF,2020-01-02,2026-07-01,6.48,157.55,15.73,19.81,0.837,1.02,-26.89,0.585,17.19,-15.57,49.4,0,,
BUYHOLD SPY,2020-01-02,2026-07-01,6.48,151.85,15.33,19.99,0.821,1.017,-33.79,0.454,12.93,-12.61,63.3,0,,
